fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,1,1,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,1,1,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,1,1,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,2,2,0,0,0,0
2020-02-27,4,4,0,0,0,0
2020-02-28,3,3,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,2,1,1,0,0,0
2020-03-02,7,7,0,0,0,0
2020-03-03,9,9,0,0,0,0
2020-03-04,6,6,0,0,0,0
2020-03-05,7,7,0,0,0,0
2020-03-06,16,16,0,0,0,0
2020-03-07,15,14,0,0,1,0
2020-03-08,16,16,0,0,0,0
2020-03-09,35,35,0,0,0,0
2020-03-10,53,53,0,0,0,0
2020-03-11,52,51,0,0,1,0
2020-03-12,77,77,0,0,0,0
2020-03-13,98,98,0,0,0,0
2020-03-14,95,94,0,0,1,0
2020-03-15,113,113,0,0,0,0
2020-03-16,161,161,0,0,0,0
2020-03-17,146,145,0,0,1,0
2020-03-18,139,138,1,0,0,0
2020-03-19,115,114,0,0,1,0
2020-03-20,186,184,0,0,2,0
2020-03-21,105,104,0,0,1,0
2020-03-22,106,106,0,0,0,0
2020-03-23,131,130,0,0,1,0
2020-03-24,108,107,0,0,1,0
2020-03-25,126,122,2,0,2,0
2020-03-26,89,88,0,0,1,0
2020-03-27,131,127,1,0,3,0
2020-03-28,117,116,0,0,1,0
2020-03-29,94,94,0,0,0,0
2020-03-30,91,90,0,0,1,0
2020-03-31,44,44,0,0,0,0
2020-04-01,122,121,0,0,1,0
2020-04-02,93,92,0,0,1,0
2020-04-03,88,88,0,0,0,0
2020-04-04,51,51,0,0,0,0
2020-04-05,80,79,0,0,1,0
2020-04-06,109,108,1,0,0,0
2020-04-07,76,73,0,0,3,0
2020-04-08,58,58,0,0,0,0
2020-04-09,77,74,3,0,0,0
2020-04-10,42,41,1,0,0,0
2020-04-11,32,30,0,0,2,0
2020-04-12,28,27,1,0,0,0
2020-04-13,74,73,1,0,0,0
2020-04-14,34,33,1,0,0,0
2020-04-15,70,67,2,0,1,0
2020-04-16,41,38,1,0,2,0
2020-04-17,29,25,2,0,2,0
2020-04-18,31,29,2,0,0,0
2020-04-19,21,20,1,0,0,0
2020-04-20,33,31,2,0,0,0
2020-04-21,27,26,1,0,0,0
2020-04-22,35,30,3,0,2,0
2020-04-23,42,40,1,0,1,0
2020-04-24,26,26,0,0,0,0
2020-04-25,11,11,0,0,0,0
2020-04-26,11,9,2,0,0,0
2020-04-27,21,17,1,0,3,0
2020-04-28,16,13,1,0,2,0
2020-04-29,35,34,1,0,0,0
2020-04-30,18,17,0,0,1,0
2020-05-01,5,4,0,0,1,0
2020-05-02,16,15,0,0,1,0
2020-05-03,5,5,0,0,0,0
2020-05-04,7,7,0,0,0,0
2020-05-05,5,5,0,0,0,0
2020-05-06,8,7,0,0,1,0
2020-05-07,3,3,0,0,0,0
2020-05-08,6,5,1,0,0,0
2020-05-09,7,7,0,0,0,0
2020-05-10,5,5,0,0,0,0
2020-05-11,6,6,0,0,0,0
2020-05-12,7,7,0,0,0,0
2020-05-13,5,5,0,0,0,0
2020-05-14,2,1,1,0,0,0
2020-05-15,3,3,0,0,0,0
2020-05-16,4,4,0,0,0,0
2020-05-17,1,1,0,0,0,0
2020-05-18,5,5,0,0,0,0
2020-05-19,6,6,0,0,0,0
2020-05-20,7,7,0,0,0,0
2020-05-21,3,3,0,0,0,0
2020-05-22,9,9,0,0,0,0
2020-05-23,3,3,0,0,0,0
2020-05-24,6,6,0,0,0,0
2020-05-25,0,0,0,0,0,0
2020-05-26,2,2,0,0,0,0
2020-05-27,1,1,0,0,0,0
2020-05-28,1,1,0,0,0,0
2020-05-29,1,1,0,0,0,0
2020-05-30,0,0,0,0,0,0
2020-05-31,1,1,0,0,0,0
2020-06-01,1,1,0,0,0,0
2020-06-02,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0
2020-06-05,2,2,0,0,0,0
2020-06-06,1,1,0,0,0,0
2020-06-07,0,0,0,0,0,0
2020-06-08,2,2,0,0,0,0
2020-06-09,2,2,0,0,0,0
2020-06-10,0,0,0,0,0,0
2020-06-11,1,1,0,0,0,0
2020-06-12,1,1,0,0,0,0
2020-06-13,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0
2020-06-15,1,1,0,0,0,0
2020-06-16,0,0,0,0,0,0
2020-06-17,2,2,0,0,0,0
2020-06-18,2,2,0,0,0,0
2020-06-19,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0
2020-06-21,3,3,0,0,0,0
2020-06-22,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0
2020-06-25,3,3,0,0,0,0
2020-06-26,0,0,0,0,0,0
2020-06-27,2,2,0,0,0,0
2020-06-28,0,0,0,0,0,0
2020-06-29,1,1,0,0,0,0
2020-06-30,0,0,0,0,0,0
2020-07-01,1,1,0,0,0,0
2020-07-02,2,2,0,0,0,0
2020-07-03,1,1,0,0,0,0
2020-07-04,1,1,0,0,0,0
2020-07-05,1,1,0,0,0,0
2020-07-06,1,1,0,0,0,0
2020-07-07,0,0,0,0,0,0
2020-07-08,2,2,0,0,0,0
2020-07-09,1,1,0,0,0,0
2020-07-10,0,0,0,0,0,0
2020-07-11,3,3,0,0,0,0
2020-07-12,2,2,0,0,0,0
2020-07-13,3,3,0,0,0,0
2020-07-14,4,4,0,0,0,0
2020-07-15,7,7,0,0,0,0
2020-07-16,8,8,0,0,0,0
2020-07-17,5,5,0,0,0,0
2020-07-18,3,3,0,0,0,0
2020-07-19,5,5,0,0,0,0
2020-07-20,4,4,0,0,0,0
2020-07-21,5,5,0,0,0,0
2020-07-22,9,9,0,0,0,0
2020-07-23,9,9,0,0,0,0
2020-07-24,8,8,0,0,0,0
2020-07-25,6,6,0,0,0,0
2020-07-26,4,4,0,0,0,0
2020-07-27,14,14,0,0,0,0
2020-07-28,25,25,0,0,0,0
2020-07-29,17,17,0,0,0,0
2020-07-30,22,22,0,0,0,0
2020-07-31,21,21,0,0,0,0
2020-08-01,20,20,0,0,0,0
2020-08-02,24,24,0,0,0,0
2020-08-03,49,49,0,0,0,0
2020-08-04,78,78,0,0,0,0
2020-08-05,42,42,0,0,0,0
2020-08-06,53,53,0,0,0,0
2020-08-07,62,62,0,0,0,0
2020-08-08,81,81,0,0,0,0
2020-08-09,81,81,0,0,0,0
2020-08-10,119,119,0,0,0,0
2020-08-11,112,112,0,0,0,0
2020-08-12,105,105,0,0,0,0
2020-08-13,97,97,0,0,0,0
2020-08-14,83,82,0,1,0,0
2020-08-15,81,81,0,0,0,0
2020-08-16,56,56,0,0,0,0
2020-08-17,135,135,0,0,0,0
2020-08-18,186,186,0,0,0,0
2020-08-19,141,141,0,0,0,0
2020-08-20,138,138,0,0,0,0
2020-08-21,112,112,0,0,0,0
2020-08-22,115,115,0,0,0,0
2020-08-23,126,126,0,0,0,0
2020-08-24,153,153,0,0,0,0
2020-08-25,160,160,0,0,0,0
2020-08-26,144,144,0,0,0,0
2020-08-27,147,147,0,0,0,0
2020-08-28,120,120,0,0,0,0
2020-08-29,119,119,0,0,0,0
2020-08-30,123,123,0,0,0,0
2020-08-31,131,131,0,0,0,0
2020-09-01,100,100,0,0,0,0
2020-09-02,120,120,0,0,0,0
2020-09-03,98,98,0,0,0,0
2020-09-04,97,97,0,0,0,0
2020-09-05,112,112,0,0,0,0
2020-09-06,118,118,0,0,0,0
2020-09-07,127,127,0,0,0,0
2020-09-08,90,90,0,0,0,0
2020-09-09,89,89,0,0,0,0
2020-09-10,99,99,0,0,0,0
2020-09-11,74,74,0,0,0,0
2020-09-12,85,85,0,0,0,0
2020-09-13,110,110,0,0,0,0
2020-09-14,97,97,0,0,0,0
2020-09-15,81,81,0,0,0,0
2020-09-16,114,114,0,0,0,0
2020-09-17,91,91,0,0,0,0
2020-09-18,97,97,0,0,0,0
2020-09-19,91,91,0,0,0,0
2020-09-20,80,80,0,0,0,0
2020-09-21,80,80,0,0,0,0
2020-09-22,87,87,0,0,0,0
2020-09-23,89,89,0,0,0,0
2020-09-24,77,77,0,0,0,0
2020-09-25,69,69,0,0,0,0
2020-09-26,51,51,0,0,0,0
2020-09-27,60,60,0,0,0,0
2020-09-28,61,61,0,0,0,0
2020-09-29,74,74,0,0,0,0
2020-09-30,72,72,0,0,0,0
2020-10-01,78,78,0,0,0,0
2020-10-02,74,74,0,0,0,0
2020-10-03,70,70,0,0,0,0
2020-10-04,78,78,0,0,0,0
2020-10-05,96,96,0,0,0,0
2020-10-06,114,114,0,0,0,0
2020-10-07,106,105,0,1,0,0
2020-10-08,130,130,0,0,0,0
2020-10-09,95,95,0,0,0,0
2020-10-10,112,112,0,0,0,0
2020-10-11,84,83,0,1,0,0
2020-10-12,120,119,0,1,0,0
2020-10-13,137,136,0,1,0,0
2020-10-14,141,141,0,0,0,0
2020-10-15,164,163,0,1,0,0
2020-10-16,191,190,0,0,1,0
2020-10-17,190,187,0,2,1,0
2020-10-18,188,186,0,1,1,0
2020-10-19,270,267,0,3,0,0
2020-10-20,209,207,0,2,0,0
2020-10-21,247,246,0,1,0,0
2020-10-22,242,235,0,7,0,0
2020-10-23,288,281,0,6,1,0
2020-10-24,239,235,0,4,0,0
2020-10-25,218,211,0,7,0,0
2020-10-26,269,262,0,7,0,0
2020-10-27,269,259,0,8,2,0
2020-10-28,269,265,0,4,0,0
2020-10-29,366,361,0,5,0,0
2020-10-30,291,282,0,9,0,0
2020-10-31,292,288,0,4,0,0
2020-11-01,232,222,0,10,0,0
2020-11-02,270,264,0,6,0,0
2020-11-03,206,202,0,4,0,0
2020-11-04,245,237,0,8,0,0
2020-11-05,215,209,0,6,0,0
2020-11-06,245,240,0,5,0,0
2020-11-07,189,180,0,8,1,0
2020-11-08,182,175,0,7,0,0
2020-11-09,214,202,0,12,0,0
2020-11-10,181,171,0,9,1,0
2020-11-11,228,218,0,10,0,0
2020-11-12,224,213,0,11,0,0
2020-11-13,190,177,0,12,1,0
2020-11-14,176,168,0,8,0,0
2020-11-15,173,162,0,11,0,0
2020-11-16,171,165,0,6,0,0
2020-11-17,196,187,0,9,0,0
2020-11-18,216,211,0,4,1,0
2020-11-19,192,184,0,8,0,0
2020-11-20,165,151,0,14,0,0
2020-11-21,153,146,0,7,0,0
2020-11-22,146,138,0,8,0,0
2020-11-23,167,153,0,14,0,0
2020-11-24,138,127,0,11,0,0
2020-11-25,148,133,0,15,0,0
2020-11-26,172,156,0,16,0,0
2020-11-27,132,119,0,13,0,0
2020-11-28,132,123,0,9,0,0
2020-11-29,125,104,0,21,0,0
2020-11-30,127,112,0,15,0,0
2020-12-01,130,116,0,14,0,0
2020-12-02,134,121,0,13,0,0
2020-12-03,150,138,0,12,0,0
2020-12-04,129,120,0,9,0,0
2020-12-05,138,132,0,6,0,0
2020-12-06,116,107,0,9,0,0
2020-12-07,140,124,0,16,0,0
2020-12-08,160,146,0,14,0,0
2020-12-09,154,129,0,25,0,0
2020-12-10,137,114,0,23,0,0
2020-12-11,151,138,0,13,0,0
2020-12-12,160,145,0,15,0,0
2020-12-13,168,141,0,27,0,0
2020-12-14,177,152,0,25,0,0
2020-12-15,205,180,0,25,0,0
2020-12-16,175,158,0,17,0,0
2020-12-17,161,148,0,12,1,0
2020-12-18,153,145,0,8,0,0
2020-12-19,147,133,0,14,0,0
2020-12-20,119,104,0,15,0,0
2020-12-21,146,129,0,17,0,0
2020-12-22,158,142,0,16,0,0
2020-12-23,169,158,0,11,0,0
2020-12-24,167,144,0,23,0,0
2020-12-25,170,161,0,9,0,0
2020-12-26,185,161,0,24,0,0
2020-12-27,172,151,0,21,0,0
2020-12-28,250,212,0,38,0,0
2020-12-29,199,185,0,14,0,0
2020-12-30,232,210,0,22,0,0
2020-12-31,246,224,0,22,0,0
2021-01-01,245,225,0,19,0,1
2021-01-02,269,235,0,31,0,3
2021-01-03,311,263,0,27,0,21
2021-01-04,392,347,0,44,0,1
2021-01-05,379,332,0,47,0,0
2021-01-06,374,337,0,34,0,3
2021-01-07,403,344,0,58,0,1
2021-01-08,437,392,0,45,0,0
2021-01-09,487,427,0,60,0,0
2021-01-10,511,443,0,68,0,0
2021-01-11,600,528,0,72,0,0
2021-01-12,597,515,0,82,0,0
2021-01-13,632,534,0,98,0,0
2021-01-14,678,600,0,76,1,1
2021-01-15,689,598,0,91,0,0
2021-01-16,734,619,0,115,0,0
2021-01-17,624,511,0,112,1,0
