fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,1,1,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,1,1,0,0,0,0
2020-03-01,1,1,0,0,0,0
2020-03-02,7,7,0,0,0,0
2020-03-03,4,4,0,0,0,0
2020-03-04,3,3,0,0,0,0
2020-03-05,6,6,0,0,0,0
2020-03-06,3,3,0,0,0,0
2020-03-07,8,8,0,0,0,0
2020-03-08,11,11,0,0,0,0
2020-03-09,14,14,0,0,0,0
2020-03-10,29,29,0,0,0,0
2020-03-11,39,39,0,0,0,0
2020-03-12,54,54,0,0,0,0
2020-03-13,82,81,0,0,1,0
2020-03-14,88,87,0,0,1,0
2020-03-15,76,76,0,0,0,0
2020-03-16,118,118,0,0,0,0
2020-03-17,103,103,0,0,0,0
2020-03-18,117,117,0,0,0,0
2020-03-19,95,95,0,0,0,0
2020-03-20,138,137,1,0,0,0
2020-03-21,79,79,0,0,0,0
2020-03-22,79,78,0,0,1,0
2020-03-23,122,121,1,0,0,0
2020-03-24,97,97,0,0,0,0
2020-03-25,79,79,0,0,0,0
2020-03-26,117,117,0,0,0,0
2020-03-27,84,84,0,0,0,0
2020-03-28,168,168,0,0,0,0
2020-03-29,36,36,0,0,0,0
2020-03-30,69,69,0,0,0,0
2020-03-31,54,52,2,0,0,0
2020-04-01,65,64,1,0,0,0
2020-04-02,45,43,0,0,2,0
2020-04-03,54,54,0,0,0,0
2020-04-04,35,35,0,0,0,0
2020-04-05,24,24,0,0,0,0
2020-04-06,31,31,0,0,0,0
2020-04-07,27,26,0,0,1,0
2020-04-08,49,47,1,0,1,0
2020-04-09,18,17,0,1,0,0
2020-04-10,13,12,1,0,0,0
2020-04-11,27,27,0,0,0,0
2020-04-12,20,19,0,0,1,0
2020-04-13,13,13,0,0,0,0
2020-04-14,16,15,0,0,1,0
2020-04-15,17,16,0,0,1,0
2020-04-16,12,12,0,0,0,0
2020-04-17,15,14,0,0,1,0
2020-04-18,9,9,0,0,0,0
2020-04-19,13,12,1,0,0,0
2020-04-20,13,11,0,0,2,0
2020-04-21,11,11,0,0,0,0
2020-04-22,13,12,0,0,1,0
2020-04-23,6,6,0,0,0,0
2020-04-24,9,8,1,0,0,0
2020-04-25,8,7,1,0,0,0
2020-04-26,3,2,0,0,1,0
2020-04-27,5,5,0,0,0,0
2020-04-28,3,3,0,0,0,0
2020-04-29,7,6,1,0,0,0
2020-04-30,5,4,0,1,0,0
2020-05-01,9,6,2,0,1,0
2020-05-02,3,3,0,0,0,0
2020-05-03,0,0,0,0,0,0
2020-05-04,3,2,1,0,0,0
2020-05-05,3,1,2,0,0,0
2020-05-06,4,4,0,0,0,0
2020-05-07,5,5,0,0,0,0
2020-05-08,2,0,2,0,0,0
2020-05-09,4,3,1,0,0,0
2020-05-10,2,1,1,0,0,0
2020-05-11,3,3,0,0,0,0
2020-05-12,9,8,0,0,1,0
2020-05-13,3,3,0,0,0,0
2020-05-14,2,2,0,0,0,0
2020-05-15,0,0,0,0,0,0
2020-05-16,1,1,0,0,0,0
2020-05-17,0,0,0,0,0,0
2020-05-18,1,1,0,0,0,0
2020-05-19,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0
2020-05-21,1,1,0,0,0,0
2020-05-22,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0
2020-05-24,1,1,0,0,0,0
2020-05-25,1,1,0,0,0,0
2020-05-26,1,1,0,0,0,0
2020-05-27,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0
2020-05-29,2,2,0,0,0,0
2020-05-30,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0
2020-06-02,1,1,0,0,0,0
2020-06-03,0,0,0,0,0,0
2020-06-04,2,2,0,0,0,0
2020-06-05,1,1,0,0,0,0
2020-06-06,2,2,0,0,0,0
2020-06-07,1,1,0,0,0,0
2020-06-08,1,1,0,0,0,0
2020-06-09,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0
2020-06-12,1,1,0,0,0,0
2020-06-13,0,0,0,0,0,0
2020-06-14,1,1,0,0,0,0
2020-06-15,1,1,0,0,0,0
2020-06-16,1,1,0,0,0,0
2020-06-17,1,1,0,0,0,0
2020-06-18,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0
2020-06-20,1,1,0,0,0,0
2020-06-21,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0
2020-06-23,1,1,0,0,0,0
2020-06-24,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0
2020-06-27,2,2,0,0,0,0
2020-06-28,0,0,0,0,0,0
2020-06-29,1,0,0,1,0,0
2020-06-30,2,2,0,0,0,0
2020-07-01,1,1,0,0,0,0
2020-07-02,0,0,0,0,0,0
2020-07-03,1,1,0,0,0,0
2020-07-04,0,0,0,0,0,0
2020-07-05,1,1,0,0,0,0
2020-07-06,4,4,0,0,0,0
2020-07-07,1,1,0,0,0,0
2020-07-08,2,2,0,0,0,0
2020-07-09,1,1,0,0,0,0
2020-07-10,2,2,0,0,0,0
2020-07-11,1,1,0,0,0,0
2020-07-12,1,1,0,0,0,0
2020-07-13,3,3,0,0,0,0
2020-07-14,5,5,0,0,0,0
2020-07-15,4,4,0,0,0,0
2020-07-16,5,5,0,0,0,0
2020-07-17,3,3,0,0,0,0
2020-07-18,5,5,0,0,0,0
2020-07-19,7,7,0,0,0,0
2020-07-20,8,8,0,0,0,0
2020-07-21,11,11,0,0,0,0
2020-07-22,2,2,0,0,0,0
2020-07-23,4,4,0,0,0,0
2020-07-24,6,6,0,0,0,0
2020-07-25,9,9,0,0,0,0
2020-07-26,3,3,0,0,0,0
2020-07-27,3,3,0,0,0,0
2020-07-28,7,7,0,0,0,0
2020-07-29,4,4,0,0,0,0
2020-07-30,6,6,0,0,0,0
2020-07-31,9,9,0,0,0,0
2020-08-01,9,8,0,0,1,0
2020-08-02,7,7,0,0,0,0
2020-08-03,16,16,0,0,0,0
2020-08-04,14,14,0,0,0,0
2020-08-05,15,15,0,0,0,0
2020-08-06,7,7,0,0,0,0
2020-08-07,25,25,0,0,0,0
2020-08-08,14,14,0,0,0,0
2020-08-09,9,9,0,0,0,0
2020-08-10,20,20,0,0,0,0
2020-08-11,11,11,0,0,0,0
2020-08-12,15,15,0,0,0,0
2020-08-13,12,12,0,0,0,0
2020-08-14,11,11,0,0,0,0
2020-08-15,21,21,0,0,0,0
2020-08-16,14,14,0,0,0,0
2020-08-17,23,23,0,0,0,0
2020-08-18,38,38,0,0,0,0
2020-08-19,38,38,0,0,0,0
2020-08-20,25,25,0,0,0,0
2020-08-21,39,39,0,0,0,0
2020-08-22,42,42,0,0,0,0
2020-08-23,38,38,0,0,0,0
2020-08-24,37,37,0,0,0,0
2020-08-25,50,49,0,0,1,0
2020-08-26,37,37,0,0,0,0
2020-08-27,52,52,0,0,0,0
2020-08-28,47,47,0,0,0,0
2020-08-29,47,47,0,0,0,0
2020-08-30,51,51,0,0,0,0
2020-08-31,42,42,0,0,0,0
2020-09-01,67,67,0,0,0,0
2020-09-02,53,53,0,0,0,0
2020-09-03,62,62,0,0,0,0
2020-09-04,50,50,0,0,0,0
2020-09-05,68,68,0,0,0,0
2020-09-06,52,52,0,0,0,0
2020-09-07,72,72,0,0,0,0
2020-09-08,63,63,0,0,0,0
2020-09-09,63,63,0,0,0,0
2020-09-10,91,91,0,0,0,0
2020-09-11,58,58,0,0,0,0
2020-09-12,53,53,0,0,0,0
2020-09-13,77,77,0,0,0,0
2020-09-14,75,75,0,0,0,0
2020-09-15,67,67,0,0,0,0
2020-09-16,91,91,0,0,0,0
2020-09-17,89,88,0,0,1,0
2020-09-18,78,78,0,0,0,0
2020-09-19,70,70,0,0,0,0
2020-09-20,63,63,0,0,0,0
2020-09-21,68,68,0,0,0,0
2020-09-22,81,81,0,0,0,0
2020-09-23,42,42,0,0,0,0
2020-09-24,66,66,0,0,0,0
2020-09-25,45,45,0,0,0,0
2020-09-26,46,46,0,0,0,0
2020-09-27,30,30,0,0,0,0
2020-09-28,42,42,0,0,0,0
2020-09-29,53,53,0,0,0,0
2020-09-30,38,38,0,0,0,0
2020-10-01,47,47,0,0,0,0
2020-10-02,45,45,0,0,0,0
2020-10-03,46,46,0,0,0,0
2020-10-04,44,44,0,0,0,0
2020-10-05,49,49,0,0,0,0
2020-10-06,94,94,0,0,0,0
2020-10-07,100,100,0,0,0,0
2020-10-08,81,81,0,0,0,0
2020-10-09,81,81,0,0,0,0
2020-10-10,84,84,0,0,0,0
2020-10-11,77,76,0,1,0,0
2020-10-12,94,94,0,0,0,0
2020-10-13,95,94,0,0,1,0
2020-10-14,133,133,0,0,0,0
2020-10-15,117,117,0,0,0,0
2020-10-16,135,135,0,0,0,0
2020-10-17,153,152,0,1,0,0
2020-10-18,117,116,0,1,0,0
2020-10-19,199,195,0,4,0,0
2020-10-20,221,217,0,4,0,0
2020-10-21,175,174,0,1,0,0
2020-10-22,223,220,0,3,0,0
2020-10-23,188,186,0,2,0,0
2020-10-24,213,207,0,6,0,0
2020-10-25,212,209,0,3,0,0
2020-10-26,290,283,0,7,0,0
2020-10-27,281,277,0,4,0,0
2020-10-28,390,386,0,4,0,0
2020-10-29,226,226,0,0,0,0
2020-10-30,251,243,0,8,0,0
2020-10-31,234,222,0,12,0,0
2020-11-01,209,200,0,9,0,0
2020-11-02,265,257,0,8,0,0
2020-11-03,252,247,0,5,0,0
2020-11-04,286,278,0,8,0,0
2020-11-05,256,250,0,6,0,0
2020-11-06,218,212,0,6,0,0
2020-11-07,206,193,0,13,0,0
2020-11-08,179,179,0,0,0,0
2020-11-09,241,235,0,6,0,0
2020-11-10,233,227,0,6,0,0
2020-11-11,293,290,0,2,1,0
2020-11-12,305,301,0,4,0,0
2020-11-13,232,232,0,0,0,0
2020-11-14,176,174,0,2,0,0
2020-11-15,215,210,0,5,0,0
2020-11-16,240,234,0,5,1,0
2020-11-17,298,297,0,1,0,0
2020-11-18,254,249,0,5,0,0
2020-11-19,209,204,0,5,0,0
2020-11-20,209,204,0,5,0,0
2020-11-21,156,152,0,4,0,0
2020-11-22,129,128,0,1,0,0
2020-11-23,228,227,0,1,0,0
2020-11-24,139,136,0,3,0,0
2020-11-25,146,145,0,1,0,0
2020-11-26,160,151,0,9,0,0
2020-11-27,165,159,0,6,0,0
2020-11-28,148,144,0,4,0,0
2020-11-29,111,105,0,6,0,0
2020-11-30,175,164,0,11,0,0
2020-12-01,148,140,0,8,0,0
2020-12-02,127,124,0,3,0,0
2020-12-03,136,131,0,5,0,0
2020-12-04,114,107,0,7,0,0
2020-12-05,122,117,0,5,0,0
2020-12-06,111,110,0,1,0,0
2020-12-07,149,144,0,5,0,0
2020-12-08,114,112,0,2,0,0
2020-12-09,142,134,0,8,0,0
2020-12-10,178,165,0,13,0,0
2020-12-11,155,141,0,14,0,0
2020-12-12,116,101,0,15,0,0
2020-12-13,149,134,0,15,0,0
2020-12-14,203,177,0,26,0,0
2020-12-15,187,170,0,17,0,0
2020-12-16,159,142,0,17,0,0
2020-12-17,142,132,0,10,0,0
2020-12-18,139,129,0,10,0,0
2020-12-19,135,116,0,19,0,0
2020-12-20,110,98,0,12,0,0
2020-12-21,137,125,0,12,0,0
2020-12-22,136,117,0,19,0,0
2020-12-23,160,151,0,9,0,0
2020-12-24,122,107,0,15,0,0
2020-12-25,122,116,0,6,0,0
2020-12-26,146,130,0,16,0,0
2020-12-27,120,104,0,16,0,0
2020-12-28,160,144,0,16,0,0
2020-12-29,166,144,0,22,0,0
2020-12-30,156,137,0,19,0,0
2020-12-31,135,123,0,12,0,0
2021-01-01,139,124,0,12,0,3
2021-01-02,144,123,0,18,0,3
2021-01-03,191,153,0,19,0,19
2021-01-04,188,169,0,18,0,1
2021-01-05,234,217,0,17,0,0
2021-01-06,220,207,0,13,0,0
2021-01-07,235,210,0,25,0,0
2021-01-08,270,249,0,21,0,0
2021-01-09,257,239,0,18,0,0
2021-01-10,278,251,0,25,0,2
2021-01-11,422,370,0,52,0,0
2021-01-12,378,334,0,44,0,0
2021-01-13,418,371,0,47,0,0
2021-01-14,418,368,0,50,0,0
2021-01-15,459,405,0,54,0,0
2021-01-16,451,400,0,50,0,1
2021-01-17,418,360,0,58,0,0
