"Fecha","area_sanitaria","Concello","positivos","aulas_cerradas","centro_cerrado","Nome","Código","Enderezo","Provincia","Cód..postal","Teléfono","Tipo.de.centro","COORDENADA_X","COORDENADA_Y","TITULARIDADE","ENSINO_CONCERTADO","DEPENDENTE"
"2020-09-22","Lugo","LUGO",1,"1","no","CEE Santa María",27014057,"Rúa Da Luz 1","Lugo",27002,"982829220","CEE",42.995705,-7.5464168,"Pública","Non","Si"
"2020-09-23","Lugo","LUGO",1,"1","no","CEE Santa María",27014057,"Rúa Da Luz 1","Lugo",27002,"982829220","CEE",42.995705,-7.5464168,"Pública","Non","Si"
"2020-09-19","Vigo","O PORRIÑO",1,"0","no","CEEPR Aceesca",36017031,"Rúa Torneiros - Ribeira, Pol.III 24 A-B","Pontevedra",36410,"986332672","CEEPR",42.15237,-8.629241,"Privada","Si","Non"
"2020-09-22","Vigo","O PORRIÑO",2,"0","no","CEEPR Aceesca",36017031,"Rúa Torneiros - Ribeira, Pol.III 24 A-B","Pontevedra",36410,"986332672","CEEPR",42.15237,-8.629241,"Privada","Si","Non"
"2020-09-23","Vigo","O PORRIÑO",3,"2","no","CEEPR Aceesca",36017031,"Rúa Torneiros - Ribeira, Pol.III 24 A-B","Pontevedra",36410,"986332672","CEEPR",42.15237,-8.629241,"Privada","Si","Non"
"2020-09-19","Santiago","SANTIAGO DE COMPOSTELA",1,"0","no","CEEPR Aspanaes-Duques de Lugo",15025347,"Rúa da Raiola 6","A Coruña",15702,"981596589","CEEPR",42.862442,-8.536143,"Privada","Si","Non"
"2020-09-22","Santiago","SANTIAGO DE COMPOSTELA",1,"0","no","CEEPR Aspanaes-Duques de Lugo",15025347,"Rúa da Raiola 6","A Coruña",15702,"981596589","CEEPR",42.862442,-8.536143,"Privada","Si","Non"
"2020-09-23","Santiago","SANTIAGO DE COMPOSTELA",1,"0","no","CEEPR Aspanaes-Duques de Lugo",15025347,"Rúa da Raiola 6","A Coruña",15702,"981596589","CEEPR",42.862442,-8.536143,"Privada","Si","Non"
"2020-09-22","Ourense","OURENSE",1,"0","no","CEEPR Ilustre Mestre",32020823,"Rúa PUGA s/n","Ourense",32005,"988219389","CEEPR",42.32697,-7.858336,"Privada","Si","Non"
"2020-09-23","Ourense","OURENSE",1,"2","no","CEEPR Ilustre Mestre",32020823,"Rúa PUGA s/n","Ourense",32005,"988219389","CEEPR",42.32697,-7.858336,"Privada","Si","Non"
"2020-09-19","Santiago","TEO",1,"0","no","CEIP A Igrexa-Calo",15017041,"Lugar Fixó 14","A Coruña",15866,"881866483","CEIP",42.82712,-8.5949545,"Pública","Non","Si"
"2020-09-22","Santiago","TEO",2,"0","no","CEIP A Igrexa-Calo",15017041,"Lugar Fixó 14","A Coruña",15866,"881866483","CEIP",42.82712,-8.5949545,"Pública","Non","Si"
"2020-09-23","Santiago","TEO",2,"0","no","CEIP A Igrexa-Calo",15017041,"Lugar Fixó 14","A Coruña",15866,"881866483","CEIP",42.82712,-8.5949545,"Pública","Non","Si"
"2020-09-19","Pontevedra","PONTEVEDRA",1,"0","no","CEIP A Xunqueira Nº 1",36006122,"Rúa Celso Emilio Ferreiro 2","Pontevedra",36005,"886159029","CEIP",42.43789,-8.639316,"Pública","Non","Si"
"2020-09-22","Pontevedra","PONTEVEDRA",1,"0","no","CEIP A Xunqueira Nº 1",36006122,"Rúa Celso Emilio Ferreiro 2","Pontevedra",36005,"886159029","CEIP",42.43789,-8.639316,"Pública","Non","Si"
"2020-09-23","Pontevedra","PONTEVEDRA",1,"0","no","CEIP A Xunqueira Nº 1",36006122,"Rúa Celso Emilio Ferreiro 2","Pontevedra",36005,"886159029","CEIP",42.43789,-8.639316,"Pública","Non","Si"
