Fecha,A_Coruña.domicilio,A_Coruña.hospitalizados,A_Coruña.uci,A_Coruña.PCR.acum,A_Coruña.serologicas.acum,A_Coruña.antigeno.acum,A_Coruña.no_pdia.acum
2020-03-11,,,,,,,
2020-03-12,,,,,,,
2020-03-13,,,,,,,
2020-03-14,,,,,,,
2020-03-15,,,,,,,
2020-03-16,,,,,,,
2020-03-17,,,,,,,
2020-03-18,,,,,,,
2020-03-19,,,,,,,
2020-03-20,,,,,,,
2020-03-21,,,,,,,
2020-03-22,,,,,,,
2020-03-23,,,,,,,
2020-03-24,,,,,,,
2020-03-25,,,,,,,
2020-03-26,,,,,,,
2020-03-27,,,,,,,
2020-03-28,,,,,,,
2020-03-29,,,,,,,
2020-03-30,,,,,,,
2020-03-31,,,,,,,
2020-04-01,,,,,,,
2020-04-02,,,,,,,
2020-04-03,,,,,,,
2020-04-04,,,,,,,
2020-04-05,,,,,,,
2020-04-06,,,,,,,
2020-04-07,,,,,,,
2020-04-08,,,,,,,
2020-04-09,,,,,,,
2020-04-10,,,,,,,
2020-04-11,,,,,,,
2020-04-12,,,,,,,
2020-04-13,,,,,,,
2020-04-14,,,,,,,
2020-04-15,,,,,,,
2020-04-16,,,,,,,
2020-04-17,,,,,,,
2020-04-18,,,,,,,
2020-04-19,,,,,,,
2020-04-20,,,,,,,
2020-04-21,,,,,,,
2020-04-22,,,,,,,
2020-04-23,,,,,,,
2020-04-24,,,,,,,
2020-04-25,,,,,,,
2020-04-26,,,,,,,
2020-04-27,,,,,,,
2020-04-28,,,,,,,
2020-04-29,,,,,,,
2020-04-30,,,,,,,
2020-05-01,,,,,,,
2020-05-02,,,,,,,
2020-05-03,,,,,,,
2020-05-04,,,,,,,
2020-05-05,,,,,,,
2020-05-06,,,,,,,
2020-05-07,,,,,,,
2020-05-08,,,,,,,
2020-05-09,,,,,,,
2020-05-10,,,,,,,
2020-05-11,,,,,,,
2020-05-12,,,,,,,
2020-05-13,,,,,,,
2020-05-14,,,,,,,
2020-05-15,,,,,,,
2020-05-16,,,,,,,
2020-05-17,,,,,,,
2020-05-18,,,,,,,
2020-05-19,,,,,,,
2020-05-20,,,,,,,
2020-05-21,,,,,,,
2020-05-22,,,,,,,
2020-05-23,,,,,,,
2020-05-24,,,,,,,
2020-05-25,,,,,,,
2020-05-26,,,,,,,
2020-05-27,,,,,,,
2020-05-28,,,,,,,
2020-05-29,,,,,,,
2020-05-30,,,,,,,
2020-05-31,,,,,,,
2020-06-01,,,,,,,
2020-06-02,,,,,,,
2020-06-03,,,,,,,
2020-06-04,132,7,0,,,,
2020-06-05,125,7,0,33501,,,
2020-06-06,116,8,0,33812,,,
2020-06-07,114,5,0,34080,,,
2020-06-08,108,5,0,34371,,,
2020-06-09,108,4,0,34538,,,
2020-06-10,98,3,0,34811,,,
2020-06-11,102,3,0,35199,,,
2020-06-12,103,2,0,35450,,,
2020-06-13,107,1,0,35717,,,
2020-06-14,107,2,0,35992,,,
2020-06-15,106,2,0,36233,,,
2020-06-16,107,2,0,36430,,,
2020-06-17,107,2,0,36761,,,
2020-06-18,107,2,0,37115,,,
2020-06-19,107,2,0,37316,,,
2020-06-20,108,2,0,37617,,,
2020-06-21,108,1,0,37797,,,
2020-06-22,109,1,0,38067,,,
2020-06-23,107,1,0,38165,,,
2020-06-24,107,1,0,38464,,,
2020-06-25,101,1,0,38690,,,
2020-06-26,80,1,0,38878,,,
2020-06-27,74,1,0,39045,,,
2020-06-28,71,1,0,39399,,,
2020-06-29,70,1,0,39762,,,
2020-06-30,69,1,0,39996,,,
2020-07-01,69,1,0,40571,,,
2020-07-02,72,1,0,41173,,,
2020-07-03,62,1,0,41714,,,
2020-07-04,49,1,0,42181,,,
2020-07-05,29,1,0,42600,,,
2020-07-06,29,1,0,43024,,,
2020-07-07,23,1,0,43246,,,
2020-07-08,24,1,0,43671,,,
2020-07-09,21,1,0,44191,,,
2020-07-10,25,0,0,44730,,,
2020-07-11,22,0,0,45224,,,
2020-07-12,19,0,0,45754,,,
2020-07-13,23,1,0,46098,,,
2020-07-14,22,1,0,46275,,,
2020-07-15,25,1,0,46934,,,
2020-07-16,26,1,0,47641,,,
2020-07-17,26,1,0,48544,,,
2020-07-18,30,1,0,49185,,,
2020-07-19,29,1,0,49908,,,
2020-07-20,27,1,0,50276,,,
2020-07-21,31,0,0,50482,,,
2020-07-22,37,0,0,50940,,,
2020-07-23,38,1,0,51623,,,
2020-07-24,41,2,0,51954,,,
2020-07-25,48,4,0,52274,,,
2020-07-26,54,5,0,52563,,,
2020-07-27,53,5,0,52882,,,
2020-07-28,59,4,0,53079,,,
2020-07-29,67,4,0,53466,,,
2020-07-30,73,3,0,53831,,,
2020-07-31,85,2,0,54193,,,
2020-08-01,103,4,0,54841,,,
2020-08-02,114,4,0,55251,,,
2020-08-03,136,7,0,55681,,,
2020-08-04,141,9,1,55926,,,
2020-08-05,151,10,1,56285,,,
2020-08-06,147,9,1,56744,,,
2020-08-07,167,10,1,57210,,,
2020-08-08,234,12,1,57720,,,
2020-08-09,288,14,1,58240,,,
2020-08-10,355,16,1,58760,,,
2020-08-11,386,20,1,59047,,,
2020-08-12,437,26,2,59740,,,
2020-08-13,514,30,0,60589,,,
2020-08-14,586,32,0,61368,,,
2020-08-15,669,31,0,62191,,,
2020-08-16,740,39,2,63088,,,
2020-08-17,803,49,4,63841,,,
2020-08-18,874,47,4,64272,,,
2020-08-19,914,46,4,65257,,,
2020-08-20,993,53,4,66500,,,
2020-08-21,1058,56,4,67811,,,
2020-08-22,1116,54,4,69304,,,
2020-08-23,1155,52,4,70734,,,
2020-08-24,1181,55,6,71675,,,
2020-08-25,1184,56,6,72333,,,
2020-08-26,1215,60,6,73693,,,
2020-08-27,1235,70,5,75303,,,
2020-08-28,1278,73,5,76632,,,
2020-08-29,1302,75,6,78185,,,
2020-08-30,1310,73,7,79588,,,
2020-08-31,1325,68,6,80655,,,
2020-09-01,1330,73,5,81371,,,
2020-09-02,1313,75,4,82933,,,
2020-09-03,1355,71,5,84386,,,
2020-09-04,1373,73,6,85957,,,
2020-09-05,1380,66,5,87303,,,
2020-09-06,1358,66,5,88888,,,
2020-09-07,1366,68,6,89960,,,
2020-09-08,1347,67,7,90534,,,
2020-09-09,1361,63,9,91754,,,
2020-09-10,1347,60,9,93304,,,
2020-09-11,1341,62,9,94735,,,
2020-09-12,1277,63,8,95733,,,
2020-09-13,1234,70,8,97049,,,
2020-09-14,1225,73,10,97903,,,
2020-09-15,1174,73,9,98424,,,
2020-09-16,1171,66,8,99563,,,
2020-09-17,1176,60,8,100835,,,
2020-09-18,1169,69,8,102449,,,
2020-09-19,1164,60,6,103782,,,
2020-09-20,1120,59,7,105259,,,
2020-09-21,1086,63,8,106291,,,
2020-09-22,1048,66,8,107061,,,
2020-09-23,1051,59,7,108726,,,
2020-09-24,1057,57,8,110459,,,
2020-09-25,1048,61,7,112096,,,
2020-09-26,1016,61,7,113814,,,
2020-09-27,989,57,7,115426,,,
2020-09-28,938,61,7,116541,,,
2020-09-29,925,53,3,117183,,,
2020-09-30,923,52,3,118540,,,
2020-10-01,917,47,3,120193,,,
2020-10-02,858,46,3,121842,,,
2020-10-03,802,46,3,123365,,,
2020-10-04,769,50,3,124873,,,
2020-10-05,769,51,4,125961,,,
2020-10-06,768,50,5,126436,,,
2020-10-07,742,45,4,127683,,,
2020-10-08,736,49,4,129001,54017,,
2020-10-09,705,52,6,130087,56390,,
2020-10-10,698,49,5,131079,58958,,
2020-10-11,701,47,5,132332,59544,,
2020-10-12,716,50,5,133256,59566,,
2020-10-13,694,51,5,133785,59595,,
2020-10-14,715,50,5,134248,61191,,
2020-10-15,723,47,4,135472,62860,,
2020-10-16,737,47,4,136826,63909,,
2020-10-17,759,48,6,138130,64648,,
2020-10-18,785,54,6,139554,64667,,
2020-10-19,794,58,8,140474,64713,,
2020-10-20,816,60,9,141147,64988,,
2020-10-21,845,60,9,142351,65639,,
2020-10-22,853,58,9,143684,65943,,
2020-10-23,899,65,9,145041,66062,,
2020-10-24,988,69,8,146949,66518,,
2020-10-25,1052,70,7,148752,66715,,
2020-10-26,1087,80,9,149886,66730,,
2020-10-27,1110,91,9,150714,66804,,
2020-10-28,1190,95,10,152390,66990,,
2020-10-29,1258,100,11,154364,67160,,
2020-10-30,1324,108,14,155962,67263,,
2020-10-31,1365,108,12,157827,67341,,
2020-11-01,1429,112,14,159709,67356,,
2020-11-02,1450,125,14,161224,67391,,
2020-11-03,1468,135,16,162214,67498,,
2020-11-04,1536,132,18,163635,67565,,
2020-11-05,1594,143,19,165219,67705,,
2020-11-06,1686,145,21,166523,67818,,
2020-11-07,1739,147,22,168323,68012,,
2020-11-08,1723,145,22,169786,68042,,
2020-11-09,1730,157,23,171108,68081,,
2020-11-10,1744,154,26,171785,68198,,
2020-11-11,1772,149,24,173347,68275,,
2020-11-12,1708,147,23,175420,68393,,
2020-11-13,1697,143,24,177814,68610,,
2020-11-14,1706,141,24,179335,68794,,
2020-11-15,1672,148,28,180819,68856,,
2020-11-16,1679,161,31,182085,68920,,
2020-11-17,1673,162,31,182732,69095,,
2020-11-18,1719,157,30,184180,69798,,
2020-11-19,1720,168,29,185484,70076,,
2020-11-20,1697,172,29,186802,70265,,
2020-11-21,1692,162,29,188277,70541,,
2020-11-22,1675,167,29,189726,70656,,
2020-11-23,1627,171,30,191179,70698,,
2020-11-24,1591,168,31,191850,70874,,
2020-11-25,1605,161,35,193074,71185,,
