ID;COR;NOME;CASOS_14_DIAS;NIVEL_14_DIAS;CASOS_7_DIAS;NIVEL_7_DIAS
34121515001;0;ABEGONDO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: ≤25.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515002;0;AMES;Número de novos casos diagnosticados no concello: 32.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 17.;Incidencia acumulada para o concello: >25 e ≤75.
34121515003;0;ARANGA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515004;0;ARES;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515005;0;ARTEIXO;Número de novos casos diagnosticados no concello: 78.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: 44.;Incidencia acumulada para o concello: >125 e ≤250.
34121515006;0;ARZUA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515007;0;BAÑA (A);Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515008;0;BERGONDO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515009;0;BETANZOS;Número de novos casos diagnosticados no concello: 12.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515010;0;BOIMORTO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >125 e ≤250.
34121515011;0;BOIRO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515012;0;BOQUEIXON;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515013;0;BRION;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515014;0;CABANA DE BERGANTIÑOS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515015;0;CABANAS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515016;0;CAMARIÑAS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515017;0;CAMBRE;Número de novos casos diagnosticados no concello: 23.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
