ID,NOME,CASOS_14_DIAS,NIVEL_14_DIAS,CASOS_7_DIAS,NIVEL_7_DIAS,COR
"34121515001","ABEGONDO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515002","AMES","Número de novos casos diagnosticados no concello: 21.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: 11.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515003","ARANGA","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515004","ARES","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515005","ARTEIXO","Número de novos casos diagnosticados no concello: 13.","Incidencia acumulada para o concello: >25 e ≤50.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515006","ARZUA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤50.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515007","BAÑA (A)","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515008","BERGONDO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515009","BETANZOS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤10.","0"
"34121515010","BOIMORTO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >150 e ≤250.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515011","BOIRO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤50.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515012","BOQUEIXON","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515013","BRION","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515014","CABANA DE BERGANTIÑOS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤50.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515015","CABANAS","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515016","CAMARIÑAS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515017","CAMBRE","Número de novos casos diagnosticados no concello: 31.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: 16.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515018","CAPELA (A)","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515019","CARBALLO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤10.","0"
"34121515020","CARNOTA","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515021","CARRAL","Número de novos casos diagnosticados no concello: 15.","Incidencia acumulada para o concello: >150 e ≤250.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >75 e ≤125.","0"
"34121515022","CEDEIRA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515023","CEE","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515024","CERCEDA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤50.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515025","CERDIDO","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515027","COIROS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >75 e ≤125.","0"
"34121515028","CORCUBION","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515029","CORISTANCO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515030","CORUÑA (A)","Número de novos casos diagnosticados no concello: 302.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: 143.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515031","CULLEREDO","Número de novos casos diagnosticados no concello: 34.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: 11.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515032","CURTIS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515033","DODRO","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515034","DUMBRIA","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515035","FENE","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515036","FERROL","Número de novos casos diagnosticados no concello: 37.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: 14.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515037","FISTERRA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >10 e ≤25.","0"
"34121515038","FRADES","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >150 e ≤250.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >125 e ≤250.","0"
"34121515039","IRIXOA","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515040","LAXE","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤50.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515041","LARACHA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515042","LOUSAME","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤50.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515043","MALPICA DE BERGANTIÑOS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515044","MAÑON","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515045","MAZARICOS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515046","MELIDE","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515047","MESIA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >75 e ≤125.","0"
"34121515048","MIÑO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515049","MOECHE","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515050","MONFERO","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515051","MUGARDOS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515052","MUXIA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515053","MUROS","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >25 e ≤75.","0"
"34121515054","NARON","Número de novos casos diagnosticados no concello: 10.","Incidencia acumulada para o concello: >25 e ≤50.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤10.","0"
"34121515055","NEDA","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515056","NEGREIRA","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: ≤25.","Sen novos casos diagnosticados no concello.","Incidencia acumulada para o concello: ≤10.","0"
"34121515057","NOIA","Número de novos casos diagnosticados no concello: 12.","Incidencia acumulada para o concello: >50 e ≤150.","Número de novos casos diagnosticados no concello: 11.","Incidencia acumulada para o concello: >75 e ≤125.","0"
