Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","4"
"10-14","MULLER","5"
"15-19","HOME","280"
"15-19","MULLER","481"
"20-24","HOME","2.017"
"20-24","MULLER","5.490"
"25-29","HOME","3.802"
"25-29","MULLER","10.059"
"30-34","HOME","4.808"
"30-34","MULLER","12.273"
"35-39","HOME","6.439"
"35-39","MULLER","14.744"
"40-44","HOME","9.709"
"40-44","MULLER","19.413"
"45-49","HOME","65.490"
"45-49","MULLER","73.001"
"50-54","HOME","89.879"
"50-54","MULLER","97.525"
"55-59","HOME","85.002"
"55-59","MULLER","93.719"
"60-64","HOME","81.485"
"60-64","MULLER","88.733"
"65-69","HOME","72.129"
"65-69","MULLER","79.648"
"70-74","HOME","70.060"
"70-74","MULLER","81.684"
"75-79","HOME","59.250"
"75-79","MULLER","74.280"
"80-84","HOME","38.810"
"80-84","MULLER","56.939"
"85->","HOME","44.167"
"85->","MULLER","86.671"
