Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","6"
"05-09","HOME","49.792"
"05-09","MULLER","46.768"
"10-14","HOME","61.635"
"10-14","MULLER","57.981"
"15-19","HOME","52.141"
"15-19","MULLER","49.736"
"20-24","HOME","52.831"
"20-24","MULLER","51.563"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.847"
"25-29","MULLER","52.967"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.770"
"30-34","MULLER","61.402"
"35-39","HOME","74.433"
"35-39","MULLER","77.335"
"40-44","HOME","99.966"
"40-44","MULLER","102.384"
"45-49","HOME","106.840"
"45-49","MULLER","109.888"
"50-54","HOME","99.419"
"50-54","MULLER","104.134"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.163"
"55-59","MULLER","99.654"
"60-64","HOME","88.912"
"60-64","MULLER","95.956"
"65-69","HOME","79.402"
"65-69","MULLER","87.582"
"70-74","HOME","71.909"
"70-74","MULLER","82.712"
"75-79","HOME","61.986"
"75-79","MULLER","77.105"
"80-84","HOME","38.270"
"80-84","MULLER","54.664"
"85->","HOME","51.315"
"85->","MULLER","98.844"
