Fecha,Ferrol.casos.acum,Ferrol.altas.acum,Ferrol.fallecidos.acum
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,613,560,33
2020-06-05,613,562,33
2020-06-06,613,566,33
2020-06-07,613,566,33
2020-06-08,613,567,33
2020-06-09,613,567,33
2020-06-10,613,567,33
2020-06-11,613,567,33
2020-06-12,613,568,33
2020-06-13,614,569,33
2020-06-14,614,569,33
2020-06-15,614,569,33
2020-06-16,614,569,33
2020-06-17,614,569,33
2020-06-18,614,569,33
2020-06-19,614,569,33
2020-06-20,615,570,33
2020-06-21,615,570,33
2020-06-22,615,570,33
2020-06-23,615,570,33
2020-06-24,615,571,33
2020-06-25,615,571,33
2020-06-26,615,571,33
2020-06-27,615,571,33
2020-06-28,615,571,33
2020-06-29,615,571,33
2020-06-30,615,571,33
2020-07-01,615,572,33
2020-07-02,616,573,33
2020-07-03,616,573,33
2020-07-04,616,576,33
2020-07-05,616,581,33
2020-07-06,616,581,33
2020-07-07,617,582,33
2020-07-08,617,582,33
2020-07-09,617,582,33
2020-07-10,617,582,33
2020-07-11,617,583,33
2020-07-12,617,583,33
2020-07-13,618,584,33
2020-07-14,618,584,33
2020-07-15,618,584,33
2020-07-16,618,584,33
2020-07-17,618,584,33
2020-07-18,618,584,33
2020-07-19,618,585,33
2020-07-20,618,585,33
2020-07-21,618,585,33
2020-07-22,618,585,33
2020-07-23,618,585,33
2020-07-24,618,585,33
2020-07-25,618,585,33
2020-07-26,618,585,33
2020-07-27,619,586,33
2020-07-28,619,586,33
2020-07-29,620,586,33
2020-07-30,621,586,33
2020-07-31,621,586,33
2020-08-01,621,586,33
2020-08-02,621,586,33
2020-08-03,622,586,33
2020-08-04,623,586,33
2020-08-05,624,586,33
2020-08-06,624,586,33
2020-08-07,624,586,33
2020-08-08,625,586,33
2020-08-09,626,586,33
2020-08-10,627,585,33
2020-08-11,629,585,33
