"fecha","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-22","Ames",31793,35,NA,NA,110.08712609694,NA,NA
"2020-11-22","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2020-11-22","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-11-22","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178
"2020-11-22","Mondariz",4440,24,NA,NA,540.540540540541,NA,NA
"2020-11-22","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891
"2020-11-22","Cuntis",4677,15,NA,NA,320.71840923669,NA,NA
"2020-11-22","Ribadeo",9854,11,NA,NA,111.629795007104,NA,NA
"2020-11-22","Vilardevós",1846,NA,NA,NA,NA,NA,NA
"2020-11-22","A Cañiza",5180,21,NA,NA,405.405405405405,NA,NA
"2020-11-22","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-11-22","Cotobade",5699,14,NA,NA,245.657132830321,NA,NA
"2020-11-22","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115
"2020-11-22","Cerdedo",5699,14,NA,NA,245.657132830321,NA,NA
"2020-11-22","Meaño",5272,16,NA,NA,303.490136570561,NA,NA
"2020-11-22","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2020-11-22","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227
"2020-11-22","Carral",6408,10,NA,NA,156.05493133583,NA,NA
"2020-11-22","Teo",18579,31,NA,NA,166.855051402121,NA,NA
"2020-11-22","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631
"2020-11-22","Foz",9980,23,NA,NA,230.460921843687,NA,NA
"2020-11-22","Ribadavia",5024,30,NA,NA,597.133757961783,NA,NA
"2020-11-22","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-11-22","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898
"2020-11-22","Castrelo do Val",984,NA,NA,NA,NA,NA,NA
"2020-11-22","Begonte",3026,NA,1,9,NA,33.0469266358229,297.422339722406
"2020-11-22","Cangas",26542,36,NA,NA,135.634089367794,NA,NA
"2020-11-22","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-11-22","As Neves",3841,10,NA,NA,260.348867482426,NA,NA
"2020-11-22","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615
"2020-11-22","A Rúa",4314,22,NA,NA,509.967547519703,NA,NA
"2020-11-22","Trasmiras",1286,NA,NA,NA,NA,NA,NA
"2020-11-22","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541
"2020-11-22","Toques",1124,NA,NA,NA,NA,NA,NA
"2020-11-22","Tui",16701,45,NA,NA,269.444943416562,NA,NA
"2020-11-22","Navia de Suarna",1081,NA,NA,NA,NA,NA,NA
"2020-11-22","Ponteceso",5502,45,NA,NA,817.884405670665,NA,NA
"2020-11-22","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168
"2020-11-22","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605
"2020-11-22","Meira",1725,NA,1,9,NA,57.9710144927536,521.739130434783
"2020-11-22","Ourol",1018,NA,NA,NA,NA,NA,NA
"2020-11-22","Triacastela",641,NA,1,9,NA,156.00624024961,1404.05616224649
"2020-11-22","Ramirás",1584,NA,1,9,NA,63.1313131313131,568.181818181818
"2020-11-22","Trazo",3113,NA,1,9,NA,32.123353678124,289.110183103116
"2020-11-22","Taboada",2756,NA,1,9,NA,36.2844702467344,326.56023222061
"2020-11-22","Rodeiro",2437,NA,1,9,NA,41.0340582683627,369.306524415265
"2020-11-22","Lalín",20218,65,NA,NA,321.495696903749,NA,NA
"2020-11-22","Miño",6200,NA,1,9,NA,16.1290322580645,145.161290322581
"2020-11-22","Moraña",4179,NA,1,9,NA,23.9291696578129,215.362526920316
"2020-11-22","Mugardos",5245,NA,1,9,NA,19.0657769304099,171.591992373689
"2020-11-22","San Xoán de Río",531,NA,NA,NA,NA,NA,NA
"2020-11-22","Vilamarín",1854,NA,1,9,NA,53.9374325782093,485.436893203883
"2020-11-22","Abadín",2367,NA,1,9,NA,42.247570764681,380.228136882129
"2020-11-22","Ribadumia",5052,29,NA,NA,574.03008709422,NA,NA
"2020-11-22","A Peroxa",1819,NA,1,9,NA,54.9752611324904,494.777350192413
"2020-11-22","Cortegada",1085,NA,NA,NA,NA,NA,NA
"2020-11-22","Laza",1228,NA,1,9,NA,81.4332247557003,732.899022801303
"2020-11-22","A Mezquita",1023,NA,NA,NA,NA,NA,NA
"2020-11-22","Gondomar",14286,32,NA,NA,223.995520089598,NA,NA
"2020-11-22","Malpica de Bergantiños",5391,57,NA,NA,1057.31775180857,NA,NA
"2020-11-22","Pontevedra",83029,289,NA,NA,348.071155861205,NA,NA
"2020-11-22","Valga",5869,20,NA,NA,340.773555972057,NA,NA
"2020-11-22","O Carballiño",14027,12,NA,NA,85.5492977828474,NA,NA
"2020-11-22","Outes",6282,NA,1,9,NA,15.9184972938555,143.266475644699
"2020-11-22","O Rosal",6234,19,NA,NA,304.780237407764,NA,NA
"2020-11-22","Oia",3053,18,NA,NA,589.58401572224,NA,NA
"2020-11-22","Cerdido",1113,NA,NA,NA,NA,NA,NA
"2020-11-22","Sarria",13330,39,NA,NA,292.573143285821,NA,NA
