"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-28","15002","Ames",31793,24,NA,NA,75.4883150379014,NA,NA
"2020-11-28","27006","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2020-11-28","15038","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-11-28","27052","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178
"2020-11-28","36030","Mondariz",4440,15,NA,NA,337.837837837838,NA,NA
"2020-11-28","36044","Pontecesures",3052,10,NA,NA,327.653997378768,NA,NA
"2020-11-28","36015","Cuntis",4677,NA,1,9,NA,21.381227282446,192.431045542014
"2020-11-28","27051","Ribadeo",9854,NA,1,9,NA,10.148163182464,91.3334686421758
"2020-11-28","32091","Vilardevós",1846,0,NA,NA,0,NA,NA
"2020-11-28","36009","A Cañiza",5180,12,NA,NA,231.660231660232,NA,NA
"2020-11-28","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-11-28","32026","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115
"2020-11-28","36902","Cerdedo-Cotobade",5699,12,NA,NA,210.563256711704,NA,NA
"2020-11-28","36027","Meaño",5272,22,NA,NA,417.298937784522,NA,NA
"2020-11-28","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2020-11-28","32035","O Irixo",1466,0,NA,NA,0,NA,NA
"2020-11-28","15021","Carral",6408,NA,1,9,NA,15.605493133583,140.449438202247
"2020-11-28","15082","Teo",18579,23,NA,NA,123.795683298348,NA,NA
"2020-11-28","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631
"2020-11-28","27019","Foz",9980,26,NA,NA,260.521042084168,NA,NA
"2020-11-28","32069","Ribadavia",5024,20,NA,NA,398.089171974522,NA,NA
"2020-11-28","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
