Fecha,Lugo.casos.acum,Lugo.altas.acum,Lugo.fallecidos.acum
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,950,884,28
2020-06-05,953,888,28
2020-06-06,957,896,28
2020-06-07,957,899,28
2020-06-08,957,899,28
2020-06-09,958,899,28
2020-06-10,962,903,28
2020-06-11,963,906,28
2020-06-12,963,913,28
2020-06-13,963,913,28
2020-06-14,964,915,28
2020-06-15,964,916,28
2020-06-16,964,917,28
2020-06-17,964,919,28
2020-06-18,965,919,28
2020-06-19,966,921,28
2020-06-20,966,921,28
2020-06-21,966,921,28
2020-06-22,966,921,28
2020-06-23,966,921,28
2020-06-24,966,921,28
2020-06-25,976,921,28
2020-06-26,980,921,28
2020-06-27,984,922,28
2020-06-28,989,922,28
2020-06-29,994,922,28
2020-06-30,999,922,28
2020-07-01,1005,925,28
2020-07-02,1017,925,28
2020-07-03,1031,926,28
2020-07-04,1046,931,28
2020-07-05,1103,932,28
2020-07-06,1103,932,28
2020-07-07,1111,932,28
2020-07-08,1126,932,28
2020-07-09,1168,950,28
2020-07-10,1183,959,28
2020-07-11,1203,972,28
2020-07-12,1207,980,28
2020-07-13,1210,982,28
2020-07-14,1212,1001,28
2020-07-15,1213,1014,28
2020-07-16,1220,1032,28
2020-07-17,1223,1035,28
2020-07-18,1227,1051,28
2020-07-19,1230,1063,28
2020-07-20,1233,1069,28
2020-07-21,1237,1103,28
2020-07-22,1240,1114,28
2020-07-23,1249,1147,28
2020-07-24,1260,1152,28
2020-07-25,1265,1157,28
2020-07-26,1276,1163,28
2020-07-27,1281,1163,28
2020-07-28,1282,1169,28
2020-07-29,1282,1174,28
2020-07-30,1282,1174,28
2020-07-31,1284,1176,28
2020-08-01,1285,1183,28
2020-08-02,1286,1188,28
2020-08-03,1289,1190,28
2020-08-04,1291,1192,28
2020-08-05,1299,1197,28
2020-08-06,1300,1199,28
2020-08-07,1305,1205,28
2020-08-08,1323,1216,28
2020-08-09,1332,1229,28
2020-08-10,1339,1235,29
2020-08-11,1345,1236,29
2020-08-12,1356,1243,29
2020-08-13,1369,1247,29
2020-08-14,1377,1249,29
2020-08-15,1383,1250,29
2020-08-16,1390,1251,29
2020-08-17,1396,1257,29
2020-08-18,1402,1260,29
2020-08-19,1428,1263,29
2020-08-20,1467,1268,29
2020-08-21,1558,1273,29
2020-08-22,1591,1282,31
2020-08-23,1625,1289,32
