municipio,provincia,area_sanitaria
Abegondo,Coruña,Coruña
Ames,Coruña,Santiago
Aranga,Coruña,Coruña
Ares,Coruña,Ferrol
Arteixo,Coruña,Coruña
Arzúa,Coruña,Santiago
Baña, A,Coruña,Santiago
Bergondo,Coruña,Coruña
Betanzos,Coruña,Coruña
Boimorto,Coruña,Santiago
Boiro,Coruña,Santiago
Boqueixón,Coruña,Santiago
Brión,Coruña,Santiago
Cabana de Bergantiños,Coruña,Coruña
Cabanas,Coruña,Ferrol
Camariñas,Coruña,Coruña
Cambre,Coruña,Coruña
Capela, A,Coruña,Ferrol
Carballo,Coruña,Coruña
Cariño,Coruña,Ferrol
Carnota,Coruña,Santiago
Carral,Coruña,Coruña
Cedeira,Coruña,Ferrol
Cee,Coruña,Coruña
Cerceda,Coruña,Coruña
Cerdido,Coruña,Ferrol
Coirós,Coruña,Coruña
Corcubión,Coruña,Coruña
Coristanco,Coruña,Coruña
Coruña, A,Coruña,Coruña
Culleredo,Coruña,Coruña
Curtis,Coruña,Coruña
Dodro,Coruña,Santiago
Dumbría,Coruña,Coruña
Fene,Coruña,Ferrol
Ferrol,Coruña,Ferrol
Fisterra,Coruña,Coruña
Frades,Coruña,Santiago
Irixoa,Coruña,Coruña
Laracha, A,Coruña,Coruña
Laxe,Coruña,Coruña
Lousame,Coruña,Santiago
Malpica de Bergantiños,Coruña,Coruña
Mañón,Coruña,Ferrol
Mazaricos,Coruña,Santiago
Melide,Coruña,Santiago
Mesía,Coruña,Santiago
Miño,Coruña,Coruña
Moeche,Coruña,Ferrol
Monfero,Coruña,Ferrol
Mugardos,Coruña,Ferrol
Muros,Coruña,Santiago
Muxía,Coruña,Coruña
Narón,Coruña,Ferrol
Neda,Coruña,Ferrol
Negreira,Coruña,Santiago
Noia,Coruña,Santiago
Oleiros,Coruña,Coruña
Ordes,Coruña,Santiago
Oroso,Coruña,Santiago
Ortigueira,Coruña,Ferrol
Outes,Coruña,Santiago
Oza-Cesuras,Coruña,Coruña
Paderne,Coruña,Coruña
Padrón,Coruña,Santiago
Pino, O,Coruña,Santiago
Pobra do Caramiñal, A,Coruña,Santiago
Ponteceso,Coruña,Coruña
Pontedeume,Coruña,Ferrol
Pontes de García Rodríguez, As,Coruña,Ferrol
Porto do Son,Coruña,Santiago
Rianxo,Coruña,Santiago
Ribeira,Coruña,Santiago
Rois,Coruña,Santiago
Sada,Coruña,Coruña
San Sadurniño,Coruña,Ferrol
Santa Comba,Coruña,Santiago
Santiago de Compostela,Coruña,Santiago
Santiso,Coruña,Santiago
Sobrado,Coruña,Coruña
Somozas, As,Coruña,Ferrol
Teo,Coruña,Santiago
Toques,Coruña,Santiago
Tordoia,Coruña,Santiago
Touro,Coruña,Santiago
Trazo,Coruña,Santiago
Val do Dubra,Coruña,Santiago
Valdoviño,Coruña,Ferrol
Vedra,Coruña,Santiago
Vilarmaior,Coruña,Coruña
Vilasantar,Coruña,Coruña
Vimianzo,Coruña,Coruña
Zas,Coruña,Coruña
Abadín,Lugo,Lugo
Alfoz,Lugo,Lugo
Antas de Ulla,Lugo,Lugo
Baleira,Lugo,Lugo
Baralla,Lugo,Lugo
Barreiros,Lugo,Lugo
Becerreá,Lugo,Lugo
Begonte,Lugo,Lugo
Bóveda,Lugo,Lugo
Burela,Lugo,Lugo
Carballedo,Lugo,Lugo
Castro de Rei,Lugo,Lugo
Castroverde,Lugo,Lugo
Cervantes,Lugo,Lugo
Cervo,Lugo,Lugo
Chantada,Lugo,Lugo
Corgo, O,Lugo,Lugo
Cospeito,Lugo,Lugo
Folgoso do Courel,Lugo,Lugo
Fonsagrada, A,Lugo,Lugo
Foz,Lugo,Lugo
Friol,Lugo,Lugo
Guitiriz,Lugo,Lugo
Guntín,Lugo,Lugo
Incio, O,Lugo,Lugo
Láncara,Lugo,Lugo
Lourenzá,Lugo,Lugo
Lugo,Lugo,Lugo
Meira,Lugo,Lugo
Mondoñedo,Lugo,Lugo
Monforte de Lemos,Lugo,Lugo
Monterroso,Lugo,Lugo
Muras,Lugo,Lugo
Navia de Suarna,Lugo,Lugo
Negueira de Muñiz,Lugo,Lugo
Nogais, As,Lugo,Lugo
Ourol,Lugo,Lugo
Outeiro de Rei,Lugo,Lugo
Palas de Rei,Lugo,Lugo
Pantón,Lugo,Lugo
Paradela,Lugo,Lugo
Páramo, O,Lugo,Lugo
Pastoriza, A,Lugo,Lugo
Pedrafita do Cebreiro,Lugo,Lugo
Pobra do Brollón, A,Lugo,Lugo
Pol,Lugo,Lugo
Pontenova, A,Lugo,Lugo
Portomarín,Lugo,Lugo
Quiroga,Lugo,Lugo
Rábade,Lugo,Lugo
Ribadeo,Lugo,Lugo
Ribas de Sil,Lugo,Lugo
Ribeira de Piquín,Lugo,Lugo
Riotorto,Lugo,Lugo
Samos,Lugo,Lugo
Sarria,Lugo,Lugo
Saviñao, O,Lugo,Lugo
Sober,Lugo,Lugo
Taboada,Lugo,Lugo
Trabada,Lugo,Lugo
Triacastela,Lugo,Lugo
Valadouro, O,Lugo,Lugo
Vicedo, O,Lugo,Lugo
Vilalba,Lugo,Lugo
Viveiro,Lugo,Lugo
Xermade,Lugo,Lugo
Xove,Lugo,Lugo
Allariz,Ourense,Ourense
Amoeiro,Ourense,Ourense
Arnoia, A,Ourense,Ourense
Avión,Ourense,Ourense
Baltar,Ourense,Ourense
Bande,Ourense,Ourense
Baños de Molgas,Ourense,Ourense
Barbadás,Ourense,Ourense
Barco de Valdeorras, O,Ourense,Ourense
Beade,Ourense,Ourense
Beariz,Ourense,Ourense
Blancos, Os,Ourense,Ourense
Boborás,Ourense,Ourense
Bola, A,Ourense,Ourense
Bolo, O,Ourense,Ourense
Calvos de Randín,Ourense,Ourense
Carballeda de Avia,Ourense,Ourense
Carballeda de Valdeorras,Ourense,Ourense
Carballiño, O,Ourense,Ourense
Cartelle,Ourense,Ourense
Castrelo de Miño,Ourense,Ourense
Castrelo do Val,Ourense,Ourense
Castro Caldelas,Ourense,Ourense
Celanova,Ourense,Ourense
Cenlle,Ourense,Ourense
Chandrexa de Queixa,Ourense,Ourense
Coles,Ourense,Ourense
Cortegada,Ourense,Ourense
Cualedro,Ourense,Ourense
Entrimo,Ourense,Ourense
Esgos,Ourense,Ourense
Gomesende,Ourense,Ourense
Gudiña, A,Ourense,Ourense
Irixo, O,Ourense,Ourense
Larouco,Ourense,Ourense
Laza,Ourense,Ourense
Leiro,Ourense,Ourense
Lobeira,Ourense,Ourense
Lobios,Ourense,Ourense
Maceda,Ourense,Ourense
Manzaneda,Ourense,Ourense
Maside,Ourense,Ourense
Melón,Ourense,Ourense
Merca, A,Ourense,Ourense
Mezquita, A,Ourense,Ourense
Montederramo,Ourense,Ourense
Monterrei,Ourense,Ourense
Muíños,Ourense,Ourense
Nogueira de Ramuín,Ourense,Ourense
Oímbra,Ourense,Ourense
Ourense,Ourense,Ourense
Paderne de Allariz,Ourense,Ourense
Padrenda,Ourense,Ourense
Parada de Sil,Ourense,Ourense
Pereiro de Aguiar, O,Ourense,Ourense
Peroxa, A,Ourense,Ourense
Petín,Ourense,Ourense
Piñor,Ourense,Ourense
Pobra de Trives, A,Ourense,Ourense
Pontedeva,Ourense,Ourense
Porqueira,Ourense,Ourense
Punxín,Ourense,Ourense
Quintela de Leirado,Ourense,Ourense
Rairiz de Veiga,Ourense,Ourense
Ramirás,Ourense,Ourense
Ribadavia,Ourense,Ourense
Riós,Ourense,Ourense
Rúa, A,Ourense,Ourense
Rubiá,Ourense,Ourense
San Amaro,Ourense,Ourense
San Cibrao das Viñas,Ourense,Ourense
San Cristovo de Cea,Ourense,Ourense
San Xoán de Río,Ourense,Ourense
Sandiás,Ourense,Ourense
Sarreaus,Ourense,Ourense
Taboadela,Ourense,Ourense
Teixeira, A,Ourense,Ourense
Toén,Ourense,Ourense
Trasmiras,Ourense,Ourense
Veiga, A,Ourense,Ourense
Verea,Ourense,Ourense
Verín,Ourense,Ourense
Viana do Bolo,Ourense,Ourense
Vilamarín,Ourense,Ourense
Vilamartín de Valdeorras,Ourense,Ourense
Vilar de Barrio,Ourense,Ourense
Vilar de Santos,Ourense,Ourense
Vilardevós,Ourense,Ourense
Vilariño de Conso,Ourense,Ourense
Xinzo de Limia,Ourense,Ourense
Xunqueira de Ambía,Ourense,Ourense
Xunqueira de Espadanedo,Ourense,Ourense
Agolada,Pontevedra,Santiago
Arbo,Pontevedra,Vigo
Baiona,Pontevedra,Vigo
Barro,Pontevedra,Pontevedra
Bueu,Pontevedra,Pontevedra
Caldas de Reis,Pontevedra,Pontevedra
Cambados,Pontevedra,Pontevedra
