Fecha,Ourense.casos.acum,Ourense.altas.acum,Ourense.fallecidos.acum
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,28,0,0
2020-03-16,,,
2020-03-17,32,0,0
2020-03-18,34,0,0
2020-03-19,46,0,0
2020-03-20,63,0,0
2020-03-21,75,0,1
2020-03-22,96,0,2
2020-03-23,146,2,2
2020-03-24,156,2,2
2020-03-25,190,2,2
2020-03-26,237,2,3
2020-03-27,310,3,5
2020-03-28,386,8,6
2020-03-29,432,9,8
2020-03-30,499,11,9
2020-03-31,545,11,12
2020-04-01,590,13,18
2020-04-02,708,26,22
2020-04-03,746,26,26
2020-04-04,965,62,28
2020-04-05,1033,79,33
2020-04-06,1111,83,36
2020-04-07,1125,88,38
2020-04-08,1160,105,54
2020-04-09,1225,125,59
2020-04-10,1289,141,66
2020-04-11,1354,153,72
2020-04-12,1396,166,76
2020-04-13,1430,187,77
2020-04-14,1458,191,80
2020-04-15,1474,200,81
2020-04-16,1495,209,83
2020-04-17,1519,228,84
2020-04-18,1531,245,86
2020-04-19,1571,247,91
2020-04-20,1583,248,92
2020-04-21,1642,254,95
2020-04-22,1665,269,95
2020-04-23,1685,275,99
2020-04-24,1698,294,102
2020-04-25,1717,314,104
2020-04-26,1730,317,106
2020-04-27,1754,328,111
2020-04-28,1764,328,111
2020-04-29,1791,964,112
2020-04-30,1800,981,112
2020-05-01,1812,1024,115
2020-05-02,1821,1075,114
2020-05-03,1833,1103,117
2020-05-04,1842,1136,118
2020-05-05,1851,1192,118
2020-05-06,1869,1287,120
2020-05-07,1886,1315,121
2020-05-08,1897,1343,122
2020-05-09,1902,1353,123
2020-05-10,1909,1379,123
2020-05-11,1919,1390,124
2020-05-12,1923,1436,125
2020-05-13,1925,1467,126
2020-05-14,1936,1487,128
2020-05-15,1952,1504,128
2020-05-16,1961,1556,128
2020-05-17,1965,1627,129
2020-05-18,1965,1629,129
2020-05-19,1969,1650,129
2020-05-20,1976,1676,129
2020-05-21,1979,1690,129
2020-05-22,1982,1712,129
2020-05-23,1984,1727,130
2020-05-24,1988,1734,130
2020-05-25,1994,1736,131
2020-05-26,1994,1742,131
2020-05-27,1995,1757,131
2020-05-28,1995,1770,131
2020-05-29,1997,1777,131
2020-05-30,1999,1786,131
2020-05-31,1999,1793,131
2020-06-01,1999,1793,131
2020-06-02,2001,1802,131
2020-06-03,2002,1811,131
2020-06-04,2002,1818,132
2020-06-05,2002,1819,132
2020-06-06,2006,1825,132
2020-06-07,2006,1830,132
2020-06-08,2006,1831,132
2020-06-09,2008,1839,132
2020-06-10,2012,1846,132
2020-06-11,2012,1849,132
2020-06-12,2012,1852,132
2020-06-13,2012,1852,132
2020-06-14,2012,1853,132
2020-06-15,2012,1854,132
2020-06-16,2012,1854,132
2020-06-17,2012,1855,132
2020-06-18,2012,1855,132
2020-06-19,2013,1857,132
2020-06-20,2013,1857,132
2020-06-21,2013,1857,132
2020-06-22,2013,1857,132
2020-06-23,2013,1860,132
2020-06-24,2013,1860,132
2020-06-25,2014,1860,132
2020-06-26,2014,1861,132
2020-06-27,2015,1861,132
2020-06-28,2015,1861,132
2020-06-29,2015,1861,132
2020-06-30,2016,1863,132
2020-07-01,2016,1864,132
2020-07-02,2016,1866,132
