Fecha,Pontevedra.casos.acum,Pontevedra.altas.acum,Pontevedra.fallecidos.acum
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,906,875,16
2020-06-05,910,878,16
2020-06-06,913,881,16
2020-06-07,913,881,16
2020-06-08,913,881,16
2020-06-09,914,885,16
2020-06-10,915,888,16
2020-06-11,915,888,16
2020-06-12,915,891,16
2020-06-13,915,891,16
2020-06-14,915,891,16
2020-06-15,915,891,16
2020-06-16,915,891,16
2020-06-17,915,892,16
2020-06-18,915,892,16
2020-06-19,917,892,16
2020-06-20,917,893,16
2020-06-21,917,893,16
2020-06-22,917,893,16
2020-06-23,917,893,16
2020-06-24,917,893,16
2020-06-25,917,893,16
2020-06-26,917,893,16
2020-06-27,918,893,16
2020-06-28,918,893,16
2020-06-29,918,893,16
2020-06-30,919,893,16
2020-07-01,919,893,16
2020-07-02,919,897,16
2020-07-03,919,898,16
2020-07-04,919,899,16
2020-07-05,919,901,16
2020-07-06,919,901,16
2020-07-07,920,901,16
2020-07-08,920,901,16
2020-07-09,920,901,16
2020-07-10,921,901,16
2020-07-11,921,901,16
2020-07-12,922,901,16
2020-07-13,923,901,16
2020-07-14,924,901,16
2020-07-15,924,901,16
2020-07-16,924,901,16
2020-07-17,925,901,16
2020-07-18,926,901,16
2020-07-19,926,901,16
2020-07-20,927,902,16
2020-07-21,927,902,16
2020-07-22,927,902,16
2020-07-23,929,904,16
2020-07-24,933,906,16
2020-07-25,938,907,16
2020-07-26,945,910,16
2020-07-27,946,912,16
2020-07-28,948,912,16
2020-07-29,948,912,16
2020-07-30,951,912,16
2020-07-31,953,912,16
2020-08-01,959,917,16
2020-08-02,960,919,16
2020-08-03,963,919,16
2020-08-04,964,919,16
2020-08-05,971,920,16
2020-08-06,982,925,16
2020-08-07,984,925,16
2020-08-08,985,925,16
2020-08-09,985,926,16
2020-08-10,987,927,16
2020-08-11,990,929,16
2020-08-12,990,929,16
2020-08-13,998,931,16
2020-08-14,999,931,16
2020-08-15,1009,934,16
2020-08-16,1011,934,17
2020-08-17,1022,935,17
2020-08-18,1027,935,17
2020-08-19,1041,940,17
2020-08-20,1042,945,17
2020-08-21,1050,948,17
2020-08-22,1065,952,17
2020-08-23,1092,955,17
2020-08-24,1116,958,17
2020-08-25,1123,959,17
2020-08-26,1142,960,17
2020-08-27,1158,962,17
2020-08-28,1175,971,17
2020-08-29,1198,976,17
2020-08-30,1218,983,17
2020-08-31,1231,988,17
