"codigo","municipio","habitantes"
"34121515002","Ames",31793
"34122727006","Becerreá",2818
"34121515038","Frades",2339
"34122727052","Ribas de Sil",947
"34123636030","Mondariz",4440
"34123636044","Pontecesures",3052
"34123636015","Cuntis",4677
"34122727051","Ribadeo",9854
"34123232091","Vilardevós",1846
"34123636009","A Cañiza",5180
"34121515042","Lousame",3338
"34123636902","Cotobade",5699
"34123232026","Coles",3050
"34123636902","Cerdedo",5699
"34123636027","Meaño",5272
"34123232012","Os Blancos",766
"34123232035","O Irixo",1466
"34121515021","Carral",6408
"34121515082","Teo",18579
"34123232084","Verea",943
"34122727019","Foz",9980
"34123232069","Ribadavia",5024
"34121515049","Moeche",1226
"34123232061","Piñor",1176
"34123232021","Castrelo do Val",984
"34122727007","Begonte",3026
"34123636008","Cangas",26542
"34121515091","Vilarmaior",1226
"34123636034","As Neves",3841
"34122727020","Friol",3744
"34123232072","A Rúa",4314
"34123232082","Trasmiras",1286
"34121515081","As Somozas",1098
"34121515083","Toques",1124
"34123636055","Tui",16701
"34122727034","Navia de Suarna",1081
"34121515068","Ponteceso",5502
"34123232013","Boborás",2285
"34122727041","Pantón",2542
"34122727029","Meira",1725
"34122727038","Ourol",1018
"34122727062","Triacastela",641
"34123232068","Ramirás",1584
"34121515086","Trazo",3113
"34122727060","Taboada",2756
"34123636047","Rodeiro",2437
"34123636024","Lalín",20218
"34121515048","Miño",6200
"34123636032","Moraña",4179
"34121515051","Mugardos",5245
"34123232070","San Xoán de Río",531
"34123232087","Vilamarín",1854
"34122727001","Abadín",2367
"34123636046","Ribadumia",5052
"34123232059","A Peroxa",1819
"34123232027","Cortegada",1085
"34123232039","Laza",1228
"34123232048","A Mezquita",1023
"34123636021","Gondomar",14286
"34121515043","Malpica de Bergantiños",5391
"34123636038","Pontevedra",83029
"34123636056","Valga",5869
"34123232019","O Carballiño",14027
"34121515062","Outes",6282
"34123636048","O Rosal",6234
"34123636036","Oia",3053
"34121515025","Cerdido",1113
"34122727057","Sarria",13330
"34123636052","Silleda",8687
"34122727043","O Páramo",1366
"34121515061","Ortigueira",5671
"34121515080","Sobrado",1758
"34123232085","Verín",13723
"34122727015","Cospeito",4484
"34121515013","Brión",7837
"34123636013","Covelo",2396
"34123232075","San Cibrao das Viñas",5405
"34121515016","Camariñas",5272
"34121515084","Tordoia",3299
"34121515017","Cambre",24648
"34123232025","Cenlle",1120
"34123232007","Baños de Molgas",1519
"34123636007","Campo Lameiro",1817
"34123232009","O Barco de Valdeorras",13395
"34123636019","Fornelos de Montes",1616
"34123636020","Agolada",2344
"34123636033","Mos",15078
"34123232005","Baltar",962
"34122727054","Riotorto",1262
"34123232053","Oímbra",1712
"34121515039","Irixoa",1334
"34121515028","Corcubión",1589
"34122727902","Burela",9588
"34123636040","Portas",2940
"34121515011","Boiro",18838
"34122727053","Ribeira de Piquín",528
"34121515009","Betanzos",12959
"34122727009","Carballedo",2193
"34122727035","Negueira de Muñiz",215
"34121515008","Bergondo",6633
"34123232018","Carballeda de Avia",1286
"34122727016","Chantada",8192
"34123232010","Beade",397
"34123636037","Pazos de Borbén",2999
"34121515019","Carballo",31349
"34122727046","Pol",1609
"34121515059","Ordes",12674
"34123636002","Barro",3680
"34121515087","Valdoviño",6563
"34123636029","Moaña",19399
"34123232032","Xinzo de Limia",9715
"34121515065","Padrón",8384
"34121515074","Rois",4512
"34122727013","Cervo",4227
"34121515067","A Pobra do Caramiñal",9338
"34123232073","Rubiá",1393
"34123232056","Padrenda",1748
"34122727031","Monforte de Lemos",18433
"34121515072","Rianxo",11033
"34121515004","Ares",5732
"34121515041","A Laracha",11347
"34121515077","Santa Comba",9426
"34122727027","Lourenzá",2140
"34123232076","San Cristovo de Cea",2137
"34123232045","Maside",2705
"34123232088","Vilamartín de Valdeorras",1790
"34123232020","Cartelle",2642
"34123232051","Muíños",1502
"34123636018","Forcarei",3388
"34121515089","Vedra",5036
"34123636005","Caldas de Reis",9785
"34123636043","Ponte Caldelas",5494
"34123232057","Parada de Sil",538
"34123232089","Vilar de Barrio",1307
"34123636035","Nigrán",17675
"34123232074","San Amaro",1089
"34121515040","Laxe",3016
"34121515001","Abegondo",5406
"34122727024","O Incio",1570
"34122727066","Viveiro",15466
"34123232033","Gomesende",732
"34123232047","A Merca",1913
"34123636016","Dozón",1082
"34121515012","Boqueixón",4220
"34123636004","Bueu",12009
"34123232004","Avión",1795
"34123232015","O Bolo",884
"34123636039","O Porriño",19848
"34122727010","Castro de Rei",5052
"34123232043","Maceda",2872
"34121515076","San Sadurniño",2822
"34123232081","Toén",2355
"34121515018","A Capela",1232
"34123636057","Vigo",295364
"34123636006","Cambados",13744
"34121515036","Ferrol",66065
"34122727042","Paradela",1779
"34122727037","As Nogais",1079
"34121515053","Muros",8556
"34123636028","Meis",4791
"34123232008","Barbadás",11037
"34121515901","Cariño",3838
"34122727039","Outeiro de Rei",5151
"34121515006","Arzúa",6041
"34121515902","Oza dos Ríos",5101
"34123232006","Bande",1528
"34123232080","A Teixeira",316
"34122727021","Xermade",1806
"34121515032","Curtis",3983
"34121515069","Pontedeume",7777
"34123636003","Baiona",12122
"34122727011","Castroverde",2617
"34123636010","Catoira",3335
"34122727025","Xove",3273
"34123232055","Paderne de Allariz",1384
"34123232023","Castro Caldelas",1224
"34121515034","Dumbría",2983
"34121515085","Touro",3574
"34123636001","Arbo",2580
"34122727028","Lugo",98276
"34123636901","A Illa de Arousa",4926
"34123232031","Esgos",1116
"34122727049","Portomarín",1471
"34121515005","Arteixo",32262
"34122727018","A Fonsagrada",3465
"34122727017","Folgoso do Courel",1024
"34123232016","Calvos de Randín",770
"34121515052","Muxía",4657
"34123636060","Vilagarcía de Arousa",37456
"34122727023","Guntín",2690
"34123232001","Allariz",6188
"34123232066","Quintela de Leirado",619
"34121515056","Negreira",6827
"34123636050","Salvaterra de Miño",9819
"34123636041","Poio",17082
"34123232014","A Bola",1156
"34123232046","Melón",1184
"34122727005","Barreiros",2934
"34123232063","A Pobra de Trives",2067
"34123636053","Soutomaior",7395
"34121515066","O Pino",4641
"34122727040","Palas de Rei",3388
"34123232079","Taboadela",1429
"34123232003","A Arnoia",1000
"34121515030","A Coruña",245711
"34122727055","Samos",1278
"34121515064","Paderne",2394
"34123232036","Xunqueira de Ambía",1375
"34123232067","Rairiz de Veiga",1266
"34121515088","Val do Dubra",3876
"34122727014","O Corgo",3481
"34121515027","Coirós",1824
"34122727056","Rábade",1501
"34121515075","Sada",15841
"34121515010","Boimorto",1985
"34123636031","Mondariz-Balneario",644
"34121515023","Cee",7546
"34123232024","Celanova",5649
"34123232041","Lobeira",798
"34121515007","A Baña",3450
"34123636061","Vilanova de Arousa",10302
"34121515080","Sobrado",1758
"34122727032","Monterroso",3616
"34122727047","A Pobra do Brollón",1648
"34121515058","Oleiros",36075
"34121515020","Carnota",3957
"34122727044","A Pastoriza",3002
"34123232050","Monterrei",2529
"34123636059","Vila de Cruces",5246
"34123232062","Porqueira",815
"34121515044","Mañón",1356
"34121515060","Oroso",7500
"34123232064","Pontedeva",511
"34122727008","Bóveda",1481
"34123232049","Montederramo",711
"34121515035","Fene",12944
"34121515014","Cabana de Bergantiños",4248
"34123232034","A Gudiña",1254
"34121515015","Cabanas",3281
"34121515092","Vimianzo",7057
"34121515078","Santiago de Compostela",97260
"34123636023","A Guarda",9977
"34121515029","Coristanco",6074
"34123232065","Punxín",693
"34123636017","A Estrada",20479
"34123636054","Tomiño",13499
"34121515055","Neda",5079
"34122727065","Vilalba",14072
"34122727033","Muras",642
"34122727030","Mondoñedo",3568
"34122727059","Sober",2312
"34123232083","A Veiga",889
"34121515070","As Pontes de García Rodríguez",10138
"34121515090","Vilasantar",1213
"34121515073","Ribeira",26886
"34122727022","Guitiriz",5484
"34123232017","Carballeda de Valdeorras",1545
"34123636045","Redondela",29218
"34122727050","Quiroga",3207
"34122727048","A Pontenova",2264
"34123232058","O Pereiro de Aguiar",6275
"34121515054","Narón",39080
"34123232002","Amoeiro",2280
"34123636025","A Lama",2445
"34122727004","Baleira",1241
"34121515079","Santiso",1584
"34123636049","Salceda de Caselas",9164
"34122727061","Trabada",1118
"34122727064","O Vicedo",1675
"34123232060","Petín",861
"34122727012","Cervantes",1338
"34123636042","Ponteareas",22877
"34121515031","Culleredo",30402
"34123232029","Chandrexa de Queixa",456
"34121515071","Porto do Son",9171
"34123232077","Sandiás",1206
"34123232038","Larouco",429
"34123232092","Vilariño de Conso",519
"34121515047","Mesía",2530
"34122727058","O Saviñao",3735
"34123232044","Manzaneda",870
"34123636026","Marín",24319
"34123232040","Leiro",1568
"34121515003","Aranga",1849
"34123636058","Vilaboa",5874
"34123232054","Ourense",105233
"34123232030","Entrimo",1140
"34122727901","Baralla",2556
"34123636022","O Grove",10650
"34121515057","Noia",14263
"34121515093","Zas",4472
"34123232011","Beariz",971
"34121515033","Dodro",2768
"34123232022","Castrelo de Miño",1349
"34121515024","Cerceda",5001
"34123232028","Cualedro",1679
"34121515050","Monfero",1932
"34123232037","Xunqueira de Espadanedo",745
"34122727003","Antas de Ulla",1976
"34123232052","Nogueira de Ramuín",1998
"34123232078","Sarreaus",1162
"34123636051","Sanxenxo",17347
"34122727045","Pedrafita do Cebreiro",1001
"34122727063","O Valadouro",1991
"34123636014","Crecente",2012
"34122727026","Láncara",2605
"34123232086","Viana do Bolo",2886
"34123232042","Lobios",1708
"34123232071","Riós",1516
"34123232090","Vilar de Santos",820
"34121515045","Mazaricos",3885
"34121515902","Cesuras",5101
"34121515022","Cedeira",6640
"34121515046","Melide",7406
"34122727002","Alfoz",1688
"34121515037","Fisterra",4708
