Fecha,Vigo.casos.acum,Vigo.altas.acum,Vigo.fallecidos.acum
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,28,
2020-03-29,,31,
2020-03-30,,34,
2020-03-31,,35,
2020-04-01,,,
2020-04-02,,69,
2020-04-03,,84,
2020-04-04,,105,
2020-04-05,,110,
2020-04-06,,117,
2020-04-07,,132,
2020-04-08,,150,
2020-04-09,,169,
2020-04-10,,179,
2020-04-11,,209,
2020-04-12,,239,
2020-04-13,,246,
2020-04-14,,271,
2020-04-15,,279,
2020-04-16,,300,
2020-04-17,,314,
2020-04-18,,325,
2020-04-19,,330,
2020-04-20,,336,
2020-04-21,,344,
2020-04-22,,352,
2020-04-23,,370,
2020-04-24,,372,
2020-04-25,,376,
2020-04-26,,380,
2020-04-27,,384,
2020-04-28,,386,
2020-04-29,,860,
2020-04-30,,861,
2020-05-01,,954,
2020-05-02,,989,
2020-05-03,,996,
2020-05-04,,1057,
2020-05-05,,1106,
2020-05-06,,1155,
2020-05-07,,1203,
2020-05-08,,1265,
2020-05-09,,1275,
2020-05-10,,1311,
2020-05-11,,1341,
2020-05-12,,1436,
2020-05-13,,1497,
2020-05-14,,1559,
2020-05-15,,1603,
2020-05-16,,1689,
2020-05-17,,1744,
2020-05-18,,1761,
2020-05-19,,1779,
2020-05-20,,1821,
2020-05-21,,1840,
2020-05-22,,1848,
2020-05-23,,1856,
2020-05-24,,1861,
2020-05-25,,1867,
2020-05-26,,1872,
2020-05-27,,1872,
2020-05-28,,1859,
2020-05-29,,1865,
2020-05-30,,1865,
2020-05-31,,1870,
2020-06-01,,1874,
2020-06-02,,1877,
2020-06-03,,1883,
2020-06-04,2274,1947,134
2020-06-05,2276,1947,134
2020-06-06,2277,1947,134
2020-06-07,2278,1950,134
2020-06-08,2278,1951,134
2020-06-09,2278,1952,134
2020-06-10,2297,1974,134
2020-06-11,2299,1980,135
2020-06-12,2302,2019,135
2020-06-13,2305,2023,135
2020-06-14,2305,2030,135
2020-06-15,2305,2030,135
2020-06-16,2307,2030,135
2020-06-17,2308,2032,135
2020-06-18,2311,2035,135
2020-06-19,2315,2039,135
2020-06-20,2320,2044,135
2020-06-21,2320,2045,135
2020-06-22,2320,2047,135
2020-06-23,2320,2047,135
2020-06-24,2320,2050,135
2020-06-25,2320,2050,135
2020-06-26,2320,2052,135
2020-06-27,2320,2054,135
2020-06-28,2322,2055,135
2020-06-29,2322,2056,135
2020-06-30,2322,2058,135
2020-07-01,2322,2059,135
2020-07-02,2323,2066,135
2020-07-03,2324,2067,135
2020-07-04,2324,2088,135
2020-07-05,2325,2129,135
2020-07-06,2325,2129,135
2020-07-07,2326,2131,135
2020-07-08,2326,2157,135
2020-07-09,2327,2168,135
2020-07-10,2328,2177,135
2020-07-11,2330,2185,135
2020-07-12,2331,2185,135
2020-07-13,2331,2185,135
2020-07-14,2331,2184,135
2020-07-15,2332,2183,135
2020-07-16,2334,2183,135
2020-07-17,2335,2183,135
2020-07-18,2335,2183,135
2020-07-19,2336,2184,135
2020-07-20,2336,2184,135
2020-07-21,2337,2184,135
2020-07-22,2342,2187,135
2020-07-23,2351,2189,135
2020-07-24,2356,2190,135
2020-07-25,2357,2190,135
2020-07-26,2360,2190,135
2020-07-27,2369,2190,135
2020-07-28,2372,2190,135
2020-07-29,2376,2191,135
2020-07-30,2377,2193,135
2020-07-31,2378,2195,135
2020-08-01,2385,2194,135
2020-08-02,2392,2194,135
2020-08-03,2393,2194,135
2020-08-04,2397,2195,135
2020-08-05,2406,2197,135
2020-08-06,2415,2205,135
2020-08-07,2421,2208,135
2020-08-08,2429,2213,135
2020-08-09,2436,2218,135
2020-08-10,2443,2223,135
2020-08-11,2467,2224,135
2020-08-12,2476,2225,135
2020-08-13,2483,2230,135
2020-08-14,2500,2231,135
2020-08-15,2502,2238,135
2020-08-16,2514,2245,135
2020-08-17,2519,2245,135
2020-08-18,2523,2249,135
2020-08-19,2528,2255,135
2020-08-20,2538,2262,135
2020-08-21,2554,2275,135
2020-08-22,2560,2282,135
2020-08-23,2577,2288,135
2020-08-24,2583,2293,135
2020-08-25,2604,2299,135
2020-08-26,2625,2313,135
2020-08-27,2638,2318,135
